epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.1964,1.19006,2.35762,0.93956,1.07103,0.57598,0.1602,0.14086,0.07874,0.53826,0.14829,0.13579,0.06995,1.70768,3.33118,1.33066,1.645,0,0,0
2,11.4389,1.26539,2.39581,1.03381,1.12828,0.60346,0.17604,0.13928,0.08048,0.61079,0.17602,0.13903,0.0704,1.67191,3.32448,1.35399,1.58404,1.63399e-05,1.63399e-05,1.63399e-05
3,13.1033,1.28551,2.67619,1.10708,1.18448,0.60381,0.17617,0.13761,0.07974,0.61282,0.17669,0.1396,0.06989,1.66726,3.31518,1.35704,1.57489,3.20197e-05,3.20197e-05,3.20197e-05
4,14.6122,1.3915,3.01832,1.1263,1.24733,0.60502,0.17697,0.13729,0.07917,0.61423,0.17705,0.13951,0.0707,1.68983,3.31523,1.34267,1.60355,4.70394e-05,4.70394e-05,4.70394e-05
5,15.7882,1.43008,3.67068,1.34856,1.24851,0.6047,0.17743,0.13717,0.07794,0.61612,0.17732,0.1394,0.07017,1.72056,3.62151,1.32148,1.65231,6.13989e-05,6.13989e-05,6.13989e-05
6,16.8882,1.4354,2.9064,1.12676,1.15846,0.58267,0.1785,0.15504,0.09687,0.55463,0.17002,0.15479,0.07726,1.57176,3.10055,1.26637,1.54462,7.50984e-05,7.50984e-05,7.50984e-05
7,18.157,1.29408,2.84781,1.04953,1.23567,0.5819,0.18226,0.16029,0.1046,0.61794,0.19012,0.17114,0.08636,1.38603,2.98457,1.2821,1.41266,8.81376e-05,8.81376e-05,8.81376e-05
8,19.3893,0.89299,1.86284,0.88177,1.00341,0.57467,0.16419,0.17495,0.10725,0.61334,0.17267,0.18423,0.08878,1.27637,2.99556,1.21256,1.34677,0.000100517,0.000100517,0.000100517
9,20.6441,0.86618,1.81017,0.8508,1.00496,0.57467,0.16419,0.17495,0.10725,0.61334,0.17267,0.18423,0.08878,1.27637,2.99556,1.21256,1.34677,0.000112236,0.000112236,0.000112236
10,21.9102,0.85512,1.96912,0.88946,1.05019,0.57861,0.16419,0.17461,0.10982,0.62968,0.17267,0.18275,0.09345,1.2091,2.95199,1.1248,1.30622,0.000123295,0.000123295,0.000123295
11,23.2457,0.9735,1.95312,0.87095,1.05288,0.57861,0.16419,0.17461,0.10982,0.62968,0.17267,0.18275,0.09345,1.2091,2.95199,1.1248,1.30622,0.000133693,0.000133693,0.000133693
12,24.7078,0.9002,1.93443,0.94103,1.03162,0.59045,0.19544,0.18079,0.12664,0.66461,0.20392,0.18811,0.10719,1.0873,3.08146,1.05036,1.20192,0.000143432,0.000143432,0.000143432
13,27.0743,0.90032,1.69302,0.81882,1.02069,0.59045,0.19544,0.18079,0.12664,0.66461,0.20392,0.18811,0.10719,1.0873,3.08146,1.05036,1.20192,0.00015251,0.00015251,0.00015251
14,29.2916,1.04575,1.93875,0.93643,1.03965,0.50929,0.20392,0.18133,0.13048,0.51898,0.19544,0.18765,0.1117,1.07418,3.62025,0.97664,1.19922,0.000160929,0.000160929,0.000160929
15,30.5524,0.87617,1.75527,0.83863,1.02982,0.50929,0.20392,0.18133,0.13048,0.51898,0.19544,0.18765,0.1117,1.07418,3.62025,0.97664,1.19922,0.000168687,0.000168687,0.000168687
16,31.8841,0.96493,2.1436,0.93682,1.04799,0.74977,0.18697,0.20028,0.12986,0.74977,0.18697,0.20028,0.11196,1.17571,3.80786,0.97127,1.26684,0.000175785,0.000175785,0.000175785
17,33.235,0.95284,1.99214,0.95386,1.03702,0.74977,0.18697,0.20028,0.12986,0.74977,0.18697,0.20028,0.11196,1.17571,3.80786,0.97127,1.26684,0.000182223,0.000182223,0.000182223
18,34.6161,0.76632,1.64534,0.8221,0.93713,0.56114,0.20392,0.19615,0.13181,0.56114,0.20392,0.19615,0.1037,1.29183,3.82299,0.95698,1.34723,0.000188001,0.000188001,0.000188001
19,35.8939,0.84929,1.66382,0.81845,0.9568,0.56114,0.20392,0.19615,0.13181,0.56114,0.20392,0.19615,0.1037,1.29183,3.82299,0.95698,1.34723,0.000193119,0.000193119,0.000193119
