epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.4236,1.19649,2.36906,0.9454,1.08306,0.91094,0.22321,0.25391,0.17223,0.95296,0.23005,0.2602,0.15042,1.60863,3.26395,1.13559,1.42217,0,0,0
2,33.4883,1.24058,2.57833,1.04462,1.12959,0.91305,0.22277,0.25193,0.17328,0.95308,0.22972,0.25838,0.14934,1.58319,3.25167,1.14916,1.3779,1.63399e-05,1.63399e-05,1.63399e-05
3,39.9443,1.33052,2.67163,1.21359,1.17014,0.90319,0.22225,0.25158,0.17347,0.94347,0.22919,0.25803,0.15029,1.57632,3.24642,1.15369,1.36214,3.20197e-05,3.20197e-05,3.20197e-05
4,43.1637,1.44264,2.80327,1.25247,1.30611,0.91622,0.22246,0.25135,0.17337,0.9564,0.22941,0.25796,0.15011,1.58526,3.24316,1.14552,1.3763,4.70394e-05,4.70394e-05,4.70394e-05
5,44.5204,1.20486,3.09705,1.37434,1.18378,0.95949,0.22028,0.2507,0.17183,1,0.22723,0.25686,0.14736,1.61822,3.47084,1.12765,1.42601,6.13989e-05,6.13989e-05,6.13989e-05
6,45.6544,1.39934,2.84245,1.14076,1.11035,0.8918,0.2201,0.25556,0.18157,0.93559,0.22697,0.25988,0.14939,1.47354,3.15211,1.09353,1.34841,7.50984e-05,7.50984e-05,7.50984e-05
7,47.2911,1.21431,3.0495,1.0957,1.23217,0.84168,0.22305,0.2553,0.19063,0.88159,0.23,0.26092,0.15511,1.32895,3.05404,1.06077,1.25408,8.81376e-05,8.81376e-05,8.81376e-05
8,50.1965,0.91087,1.71284,0.88677,1.02893,0.95536,0.23282,0.261,0.19001,0.95536,0.23282,0.26105,0.16019,1.14707,3.01406,1.07337,1.14587,0.000100517,0.000100517,0.000100517
9,52.0251,0.91972,1.76512,1.02026,1.07007,0.95536,0.23282,0.261,0.19001,0.95536,0.23282,0.26105,0.16019,1.14707,3.01406,1.07337,1.14587,0.000112236,0.000112236,0.000112236
10,53.6248,0.88616,1.90458,0.91028,1.09061,0.95182,0.23152,0.26213,0.20242,0.95182,0.23152,0.26323,0.16991,1.06777,3.01179,1.0363,1.12829,0.000123295,0.000123295,0.000123295
11,55.0586,0.97769,2.02245,0.87533,1.0533,0.95182,0.23152,0.26213,0.20242,0.95182,0.23152,0.26323,0.16991,1.06777,3.01179,1.0363,1.12829,0.000133693,0.000133693,0.000133693
12,57.0413,0.90105,1.86099,0.94905,1.0285,0.95769,0.23042,0.26366,0.20499,0.95769,0.23042,0.26408,0.1773,1.02209,3.07166,1.00795,1.09687,0.000143432,0.000143432,0.000143432
13,59.0898,0.93472,1.81713,0.90519,1.05702,0.95769,0.23042,0.26366,0.20499,0.95769,0.23042,0.26408,0.1773,1.02209,3.07166,1.00795,1.09687,0.00015251,0.00015251,0.00015251
14,61.4861,1.02218,2.05868,0.92103,1.07406,0.94899,0.23252,0.26546,0.2051,0.94899,0.23252,0.26618,0.17193,1.01918,3.27643,1.01736,1.10294,0.000160929,0.000160929,0.000160929
15,63.0946,0.85935,1.70337,0.8315,1.05825,0.94899,0.23252,0.26546,0.2051,0.94899,0.23252,0.26618,0.17193,1.01918,3.27643,1.01736,1.10294,0.000168687,0.000168687,0.000168687
16,64.8841,0.98022,2.35078,0.92573,1.07547,0.93833,0.23313,0.267,0.16425,0.93833,0.23313,0.26861,0.13653,1.12864,3.49529,1.06907,1.15548,0.000175785,0.000175785,0.000175785
17,66.525,0.83177,1.78283,0.80342,1.00103,0.93833,0.23313,0.267,0.16425,0.93833,0.23313,0.26861,0.13653,1.12864,3.49529,1.06907,1.15548,0.000182223,0.000182223,0.000182223
18,68.2451,0.7405,1.46982,0.75485,0.95475,0.90338,0.23313,0.26425,0.1312,0.90338,0.23313,0.26915,0.10841,1.1826,3.64004,1.07279,1.18639,0.000188001,0.000188001,0.000188001
19,71.01,0.76077,1.54271,0.7877,0.97049,0.90338,0.23313,0.26425,0.1312,0.90338,0.23313,0.26915,0.10841,1.1826,3.64004,1.07279,1.18639,0.000193119,0.000193119,0.000193119
